Time (s),A,B,C
600,86,0,1
1200,78.33333333,3,2
1800,78.66666667,4,1.666666667
2400,75.33333333,8.5,2
3000,70.33333333,9,2
3660,69.33333333,9,2
4360,69.33333333,7.333333333,1.333333333
4840,62.33333333,15.33333333,2
5440,58.66666667,15.66666667,2.333333333
6000,59.66666667,16,2
6600,58,17.33333333,2
7200,55,18.33333333,2.333333333
7920,54,19.66666667,2.333333333
8400,53.66666667,20.33333333,2.333333333
9060,52.33333333,23,2.333333333
9660,50.66666667,24,2.333333333
10200,49.5,22,2.5
10800,52,25.5,2
11340,45.66666667,27,2.666666667
12000,49.5,27,2.666666667
12640,47,28.66666667,2.666666667
13320,45,29,3
13840,44,30.66666667,3
14400,42.5,30,3.5
15000,42.33333333,31,3
15680,39.66666667,33.66666667,3
16200,40.33333333,33.33333333,3
16960,39.66666667,34.33333333,3
17400,37.66666667,34.33333333,3
18000,35.66666667,34.66666667,3
18600,37.33333333,36,3
19200,35.33333333,37,2.666666667
19840,34.33333333,36,3.333333333
20440,34.66666667,37,3
21000,34,37.66666667,3
